,name,rtg,team,dep,week,att,yds,td,tgts,rec,rec yds,rec td,opponent
98,Jonathan Taylor,81,IND,1.0,2,26.0,101.0,1,2.0,2.0,9.0,0,MIN
99,Austin Ekeler,86,LAC,1.0,2,16.0,93.0,0,4.0,4.0,55.0,0,KC
100,Raheem Mostert,84,SF,1.0,2,8.0,92.0,1,2.0,2.0,15.0,0,NYJ
101,Dalvin Cook,97,MIN,1.0,2,14.0,63.0,1,2.0,2.0,8.0,0,IND
102,Melvin Gordon,83,DEN,1.0,2,19.0,70.0,0,3.0,2.0,14.0,1,PIT
103,Mark Ingram,79,BAL,1.0,2,9.0,55.0,1,3.0,2.0,22.0,0,HOU
104,Dion Lewis,76,NYG,2.0,2,10.0,20.0,1,5.0,4.0,36.0,0,CHI
105,Mike Davis,78,CAR,1.0,2,1.0,1.0,0,8.0,8.0,74.0,0,TB
106,Myles Gaskin,76,MIA,1.0,2,7.0,46.0,0,7.0,6.0,36.0,0,BUF
107,Jerick McKinnon,75,SF,3.0,2,3.0,77.0,1,1.0,0.0,0.0,0,NYJ
108,Josh Jacobs,91,LV,1.0,2,27.0,88.0,0,3.0,3.0,17.0,0,NO
109,Joshua Kelley,67,LAC,3.0,2,23.0,64.0,0,2.0,2.0,49.0,0,KC
110,Clyde Edwards-Helaire,83,KC,1.0,2,10.0,38.0,0,8.0,6.0,32.0,0,LAC
111,Joe Mixon,87,CIN,1.0,2,16.0,46.0,0,4.0,4.0,40.0,0,CLE
112,D'Andre Swift,76,DET,3.0,2,5.0,12.0,0,5.0,5.0,60.0,0,GB
113,Antonio Gibson,76,WAS,3.0,2,13.0,55.0,1,2.0,1.0,-3.0,0,ARI
114,Chris Thompson,75,JAX,2.0,2,2.0,7.0,0,4.0,3.0,20.0,1,TEN
115,Kenyan Drake,81,ARI,1.0,2,20.0,86.0,0,2.0,2.0,9.0,0,WAS
116,Ronald Jones II,83,TB,1.0,2,7.0,23.0,1,2.0,2.0,4.0,0,CAR
117,Devin Singletary,79,BUF,1.0,2,10.0,56.0,0,3.0,2.0,20.0,0,MIA
118,Kerryon Johnson,76,DET,2.0,2,8.0,32.0,1,1.0,0.0,0.0,0,GB
119,Rex Burkhead,78,NE,4.0,2,6.0,2.0,0,6.0,4.0,47.0,0,SEA
120,Jalen Richard,77,LV,3.0,2,2.0,26.0,1,0.0,0.0,0.0,0,NO
121,Derrick Henry,93,TEN,1.0,2,25.0,84.0,0,2.0,0.0,0.0,0,JAX
122,Jamaal Williams,78,GB,2.0,2,8.0,63.0,0,0.0,0.0,0.0,0,DET
123,Giovani Bernard,81,CIN,1.0,2,1.0,3.0,0,7.0,5.0,22.0,0,CLE
124,Gus Edwards,81,BAL,2.0,2,10.0,73.0,0,0.0,0.0,0.0,0,HOU
125,Boston Scott,70,PHI,2.0,2,4.0,19.0,0,3.0,3.0,24.0,0,LAR
126,J.K. Dobbins,77,BAL,1.0,2,2.0,48.0,0,1.0,1.0,13.0,0,HOU
127,LeSean McCoy,83,TB,2.0,2,1.0,-5.0,0,7.0,5.0,26.0,0,CAR
128,Jordan Howard,78,MIA,1.0,2,5.0,4.0,1,0.0,0.0,0.0,0,BUF
129,Frank Gore,79,NYJ,1.0,2,21.0,63.0,0,2.0,0.0,0.0,0,SF
130,Todd Gurley,78,ATL,1.0,2,21.0,61.0,0,0.0,0.0,0.0,0,DAL
131,Tevin Coleman,85,SF,2.0,2,14.0,12.0,0,2.0,2.0,28.0,0,NYJ
132,Carlos Hyde,79,SEA,2.0,2,5.0,22.0,0,2.0,2.0,15.0,0,NE
133,Latavius Murray,82,NO,2.0,2,3.0,14.0,0,2.0,2.0,19.0,0,LV
134,JD McKissic,77,WAS,2.0,2,8.0,53.0,0,0.0,0.0,0.0,0,ARI
135,Matt Breida,77,MIA,2.0,2,7.0,37.0,0,2.0,1.0,2.0,0,BUF
136,Malcolm Brown,70,LAR,2.0,2,11.0,47.0,0,0.0,0.0,0.0,0,PHI
137,Ty Montgomery,75,NO,4.0,2,0.0,0.0,0,3.0,2.0,25.0,0,LV
138,Brian Hill,67,ATL,2.0,2,3.0,14.0,0,2.0,2.0,11.0,0,DAL
139,Chase Edmonds,79,ARI,2.0,2,3.0,4.0,0,4.0,3.0,9.0,0,WAS
140,Adrian Peterson,76,DET,1.0,2,7.0,41.0,0,0.0,0.0,0.0,0,GB
