NAME,TEAM,BYE,GP,FPTS,ATT,TD,ATT %,TGTS,REC,TGT %,CATCH%
Gus Edwards,BAL,8,1,6.1,2,0,3,0,0,0,0
Josh Adams,NYJ,11,5,5.6,6.6,0,13.3,0,0,0,0
Ryan Nall,CHI,11,13,5.4,0,0.4,0,2.3,2.3,0.8,100
Royce Freeman,DEN,8,12,5.2,1,0,2.7,3.2,3.2,1,100
LeSean McCoy,TB,13,8,5.2,0,0,0,4.7,3.9,1.5,83
Tevin Coleman,SF,11,5,4.9,2.8,0,3.5,2.9,2.9,0.9,100
Ito Smith,ATL,10,10,4.8,1.4,0,1.5,4.4,3.1,1.5,70.5
Alexander Mattison,MIN,7,10,4.7,2.5,0,2.7,0,0,0,0
Salvon Ahmed,MIA,11,3,4.4,0,0,0,0.3,0.3,0.1,100
D'Ernest Johnson,CLE,9,12,4.2,0,0,0,2.8,2.8,1.1,100
Troymaine Pope,LAC,10,6,3.8,0.6,0,0.9,2.5,2.5,0.8,100
Ke’Shawn Vaughn,TB,13,2,3.2,0.8,0.4,1.6,0.8,0.4,0.3,50
Matt Breida,MIA,11,8,3.1,1.2,0,1.3,0,0,0,0
JJ Taylor,NE,6,3,3,0,0,0,3,0,0.9,0
D'Onta Foreman,TEN,7,6,2.9,0,0.3,0,0.3,0.3,0.1,100
Tyler Ervin,GB,5,8,2.7,0.9,0,1.2,1,1,0.3,100
Patrick Laird,MIA,11,13,2.7,0,0,0,1.4,1.4,0.4,100
Saquon Barkley,NYG,11,2,2.5,0,0,0,1.7,0.9,0.6,52.9
Ameer Abdullah,MIN,7,13,2.4,0.1,0,0.1,1.4,1.4,0.5,100
Phillip Lindsay,DEN,8,10,2.3,4.1,0,11,3.7,0.9,1.2,24.3
Corey Clement,PHI,9,10,2.2,1.6,0,2.9,0,0,0,0
Deandre Washington,KC,10,3,2.1,1.4,0,2.5,1.3,1.3,0.4,100
Clyde Edwards-Helaire,KC,10,1,2.1,0,0,0,1,0,0.3,0
Joe Mixon,CIN,9,5,2.1,4.6,0,6.5,0.1,0,0,0
Carlos Hyde,SEA,6,1,2,0,0,0,0,0,0,0
Tarik Cohen,CHI,11,3,2,4.6,0,7.6,1.9,1.9,0.6,100
Justin Jackson,LAC,10,7,2,1.4,0,2.2,1.3,1.3,0.4,100
JD McKissic,WAS,8,1,1.8,0,0,0,1,0,0.4,0
David Montgomery,CHI,11,1,1.5,0,0,0,1,1,0.3,100
Aaron Jones,GB,5,1,1.5,0,0,0,0,0,0,0
Brian Hill,ATL,10,2,1.3,2,0,2.1,1,0,0.3,0
Dontrell Hilliard,CLE,9,1,1.3,0,0,0,0,0,0,0
Devonta Freeman,NYG,11,1,1.2,0,0,0,0.2,0.2,0.1,100
Frank Gore,NYJ,11,1,1.2,0,0,0,1,0,0.4,0
Rex Burkhead,NE,6,1,1.1,0,0,0,0,0,0,0
Deandre Washington,KC,10,1,1.1,0,0,0,0,0,0,0
Malcolm Brown,LAR,9,1,1,0,0,0,1,0,0.3,0
Darrell Henderson,LAR,9,1,1,0,0,0,0,0,0,0
Jaylen Samuels,PIT,8,11,0.9,1.9,0,2.9,0,0,0,0
Damien Harris,NE,6,1,0.9,0,0,0,0,0,0,0
Travis Homer,SEA,6,9,0.8,1.3,0.1,2.2,0.1,0.1,0,100
Corey Clement,PHI,9,2,0.8,1,0,1.8,0,0,0,0
Mike Davis,CAR,13,1,0.8,0,0,0,1,0,0.4,0
Jordan Wilkins,IND,7,1,0.8,0,0,0,0,0,0,0
Dare Ogunbowale,JAX,7,11,0.8,0,0,0,0.3,0,0.1,0
Matt Breida,MIA,11,1,0.8,0,0,0,0,0,0,0
Raheem Mostert,SF,11,6,0.7,9.5,0,12,0,0,0,0
Darrel Williams,KC,10,11,0.7,0.4,0,0.7,1.1,0,0.4,0
Justice Hill,BAL,8,1,0.6,0,0,0,0,0,0,0
Jonathan Taylor,IND,7,1,0.6,0,0,0,0,0,0,0
Frank Gore,NYJ,11,1,0.6,3,0,6,1,0,0.4,0
Miles Sanders,PHI,9,1,0.6,0,0,0,0,0,0,0
Nyheim Hines,IND,7,1,0.5,3,0,3,0,0,0,0
Rodney Smith,CAR,13,1,0.5,2,0,2.9,0,0,0,0
Jalen Richard,LV,6,1,0.5,0,0,0,2,0,0.6,0
Damien Harris,NE,6,1,0.5,1,0,0.8,0,0,0,0
Justice Hill,BAL,8,6,0.4,0,0,0,0.3,0.3,0.1,100
Dion Lewis,NYG,11,1,0.3,1,0,2.5,0,0,0,0
Reggie Bonnafon,CAR,13,1,0.3,1,0,1.5,0,0,0,0
Jeffery Wilson,SF,11,1,0.3,1,0,1.3,0,0,0,0
Le'Veon Bell,KC,11,1,0.2,0,0,0,1,0,0.4,0
Rodney Smith,CAR,13,3,0.2,0.6,0,0.9,0,0,0,0
Josh Jacobs,LV,6,1,0.2,1,0,1,0,0,0,0
Kerryon Johnson,DET,5,1,0.2,1,0,1.5,0,0,0,0
Theo Riddick,LV,6,1,0.2,1,0,1,0,0,0,0
Brian Hill,ATL,10,11,0.2,2,0,2.1,0,0,0,0
Ezekiel Elliott,DAL,10,1,0.1,2,0,3.3,0,0,0,0
TJ Yeldon,BUF,11,3,0.1,1,0,1.1,0,0,0,0
CJ Prosise,HOU,8,9,0.1,1,0,2.9,0,0,0,0
Dalvin Cook,MIN,7,1,0.1,2,0,2.2,0,0,0,0
Trey Edmunds,PIT,8,4,0,0,0,0,0,0,0,0
Jonathan Williams,DET,5,5,0,0,0,0,0,0,0,0
Nathan Cottrell,JAX,7,5,0,0,0,0,0,0,0,0
LeVante Bellamy,DEN,8,3,0,0,0,0,0,0,0,0
Raymond Calais,LAR,9,3,0,0,0,0,0,0,0,0
Jason Huntley,PHI,9,4,0,0,0,0,0,0,0,0
Theo Riddick,LV,6,1,0,0,0,0,0,0,0,0
Kenjon Barner,TB,13,4,0,0,0,0,0,0,0,0
Anthony McFarland Jr.,PIT,8,9,0,0,0,0,0,0,0,0
Lamical Perine,NYJ,11,3,0,0,0,0,0,0,0,0
Senorise Perry,TEN,7,6,0,0,0,0,0,0,0,0
Jonathan Ward**,ARI,8,1,0,0,0,0,0,0,0,0
Trenton Cannon,CAR,13,11,0,0,0,0,0,0,0,0
Darrynton Evans,TEN,7,2,0,0,0,0,0,0,0,0
Ke'Shawn Vaughn,TB,13,5,0,0,0,0,0,0,0,0
A.J. Dillon,GB,5,8,0,0,0,0,0,0,0,0
Marlon Mack,IND,7,1,0,0,0,0,0,0,0,0
Mike Boone,MIN,7,13,0,0.1,0,0.1,0,0,0,0
Gregory Howell Jr.,HOU,8,11,0,0,0,0,0,0,0,0
Duke Johnson,HOU,8,1,0,0,0,0,1,0,0.4,0
Darius Bradwell,LAC,10,2,0,0,0,0,0,0,0,0
Dwayne Washington,NO,6,9,0,0,0,0,0,0,0,0
Jonathan Ward,ARI,8,11,0,0,0,0,0,0,0,0
Kalen Ballage,NYJ,11,1,0,0,0,0,1,0,0.4,0
Xavier Jones,LAR,9,11,0,0,0,0,0,0,0,0
Dion Lewis,NYG,11,1,0,0,0,0,1,0,0.4,0
Rico Dowdle,DAL,10,11,0,0,0,0,0,0,0,0
Taiwan Jones,BUF,11,10,0,0,0,0,0,0,0,0
Scottie Phillips,HOU,8,5,0,0,0,0,0,0,0,0
Adrian Killins Jr.,PHI,9,1,0,0,0,0,0,0,0,0
Artavis Pierce,CHI,11,3,0,0,0,0,0,0,0,0
Bo Scarbrough,SEA,5,1,0,0,0,0,0,0,0,0
Dontrell Hilliard,CLE,9,4,0,0,0,0,0,0,0,0
Craig Reynolds,JAX,7,1,0,0,0,0,0,0,0,0
Tony Brooks-James,ATL,10,1,0,0,0,0,0,0,0,0
Austin Walter,SF,11,3,0,0,0,0,0,0,0,0
Khari Blasingame,TEN,7,12,0,0,0,0,0,0,0,0
Jeremy Cox,DEN,8,7,0,0,0,0,0,0,0,0
Elijah Holyfield,PHI,9,1,0,0,0,0,0,0,0,0
Dexter Williams,GB,5,2,0,0,0,0,0,0,0,0
Darwin Thompson,KC,10,12,0,0,0,0,0,0,0,0
Devine Ozigbo,JAX,7,5,0,0,0,0,0,0,0,0
Qadree Ollison,ATL,10,3,0,0,0,0,0,0,0,0
Elijhaa Penny,NYG,11,13,0,0.3,0,0.7,0,0,0,0
DJ Foster,ARI,8,7,0,0,0,0,0,0,0,0
Wendell Smallwood,PIT,8,1,0,0,0,0,0,0,0,0
Devontae Booker,LV,6,1,-0.1,0,0,0,1,0,0.3,0
Kareem Hunt,CLE,9,1,-0.1,1,0,1.1,0,0,0,0
Peyton Barber,WAS,8,1,-0.1,1,0,1.4,0,0,0,0
Royce Freeman,DEN,8,1,-0.2,0,0,0,1,0,0.3,0
Ezekiel Elliott,DAL,10,1,-0.2,1,0,1.6,0,0,0,0
Josh Jacobs,LV,6,1,-0.2,1,0,1,1,0,0.3,0
Leonard Fournette,TB,13,1,-0.3,1,0,2,1,0,0.3,0
Nyheim Hines,IND,7,1,-0.3,2,0,2,0,0,0,0
Ty Montgomery,NO,6,4,-0.4,0.9,0,0.9,0,0,0,0
Duke Johnson,HOU,8,1,-0.4,0,0,0,2,0,0.8,0
Jamaal Williams,GB,5,1,-0.4,2,0,2.8,0,0,0,0
Trayveon Williams,CIN,,9,7,-3,1.4,0,2,0,0,0
