NAME,RTG,TEAM,DEP,WEEK,ATT,YDS,TD,TGTS,REC,REC YDS,REC TD
Anthony McFarland Jr.,67,PIT,3,9,3,7,0,2,2,15,0
Dion Lewis,76,NYG,2,9,3,5,0,2,2,16,0
James Conner,80,PIT,1,9,9,22,0,2,2,-2,0
Salvon Ahmed,67,MIA,3,9,7,38,0,0,0,0,0
Melvin Gordon,83,DEN,1,9,6,18,0,1,1,9,0
JaMycal Hasty,67,SF,6,9,4,3,0,2,2,10,0
Jalen Richard,77,LV,3,9,1,3,0,1,1,19,0
Patrick Laird,67,MIA,5,9,1,-1,0,1,1,17,0
Brian Hill,67,ATL,2,9,8,24,0,1,0,0,0
Phillip Lindsay,82,DEN,1,9,8,23,0,3,0,0,0
DJ Foster,67,ARI,5,9,1,2,0,1,1,7,0
David Johnson,75,HOU,1,9,2,16,0,1,0,0,0
Darrel Williams,67,KC,3,9,0,0,0,1,1,3,0
Le'Veon Bell,79,KC,2,9,4,8,0,1,1,-5,0
D'Onta Foreman,77,TEN,4,9,5,11,0,0,0,0,0
Jeremy McNichols,69,TEN,2,9,2,10,0,0,0,0,0
Dwayne Washington,67,NO,3,9,5,9,0,0,0,0,0
Dexter Williams,67,GB,3,9,2,8,0,0,0,0,0
Elijhaa Penny,70,NYG,1,9,1,2,0,1,0,0,0
Benny Snell Jr.,75,PIT,2,9,3,1,0,0,0,0,0
Alvin Kamara,92,NO,1,10,8,15,2,8,7,83,1
Josh Jacobs,91,LV,1,10,21,112,2,4,4,24,0
Nyheim Hines,82,IND,2,10,12,70,1,6,5,45,1
Rex Burkhead,78,NE,4,10,6,31,0,5,4,35,2
Antonio Gibson,76,WAS,3,10,13,45,2,4,4,20,0
Devontae Booker,71,LV,2,10,16,81,2,1,1,2,0
Malcolm Brown,70,LAR,2,10,6,33,2,2,2,18,0
Wayne Gallman,72,NYG,1,10,18,53,2,2,1,7,0
Nick Chubb,95,CLE,1,10,19,126,1,1,0,0,0
JD McKissic,77,WAS,2,10,8,6,1,15,7,43,0
Kareem Hunt,84,CLE,2,10,19,104,0,4,3,28,0
Dalvin Cook,97,MIN,1,10,30,96,0,4,4,16,0
Aaron Jones,88,GB,1,10,13,46,0,6,5,49,0
Boston Scott,70,PHI,2,10,3,63,1,1,1,11,0
Miles Sanders,84,PHI,1,10,15,85,0,5,2,10,0
James Robinson,81,JAX,1,10,23,109,0,5,2,3,0
Damien Harris,70,NE,1,10,22,121,0,0,0,0,0
Derrick Henry,93,TEN,1,10,19,103,0,2,1,6,0
Chase Edmonds,79,ARI,2,10,8,56,0,3,3,21,0
Darrell Henderson,73,LAR,1,10,7,28,1,1,1,5,0
Kenyan Drake,81,ARI,1,10,16,100,0,1,1,9,0
D'Onta Foreman,77,TEN,4,10,7,18,0,1,1,5,1
Giovani Bernard,81,CIN,1,10,8,30,0,7,4,17,0
Jamaal Williams,78,GB,2,10,8,30,0,4,3,25,0
