,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
143,Gerald Everett,75,LAR,2.0,3,2,2,34,0,0,0,0,BUF
144,Mark Andrews,86,BAL,1.0,3,8,3,22,0,0,0,0,KC
145,Evan Engram,83,NYG,1.0,3,5,3,22,0,0,0,0,SF
146,Chris Herndon IV,77,NYJ,1.0,3,5,3,21,0,0,0,0,IND
147,Jordan Akins,77,HOU,3.0,3,3,2,28,0,0,0,0,PIT
148,Demetrius Harris,73,CHI,3.0,3,3,3,15,0,0,0,0,ATL
149,Darrell Daniels,67,ARI,3.0,3,2,2,24,0,0,0,0,DET
150,Jordan Reed,81,SF,1.0,3,6,2,23,0,0,0,0,NYG
151,Jared Cook,89,NO,1.0,3,3,2,21,0,0,0,0,GB
152,Adam Trautman,70,NO,2.0,3,2,2,17,0,0,0,0,GB
153,MyCole Pruitt,71,TEN,2.0,3,2,2,16,0,0,0,0,MIN
154,Richard Rodgers,71,PHI,3.0,3,2,2,15,0,0,0,0,CIN
155,Tyler Eifert,77,JAX,2.0,3,3,2,11,0,0,0,0,MIA
156,Darren Waller,93,LV,1.0,3,4,2,9,0,0,0,0,NE
157,Will Dissly,77,SEA,1.0,3,2,2,5,0,0,0,0,DAL
158,Kaden Smith,67,NYG,3.0,3,2,1,13,0,0,0,0,SF
159,Dan Arnold,67,ARI,1.0,3,2,1,11,0,0,0,0,DET
160,Ian Thomas,75,CAR,1.0,3,2,1,9,0,0,0,0,LAC
161,Dallas Goedert,85,PHI,2.0,3,1,1,7,0,0,0,0,CIN
162,Durham Smythe,69,MIA,1.0,3,1,1,7,0,0,0,0,JAX
163,Luke Stocker,74,ATL,2.0,3,1,1,6,0,0,0,0,CHI
164,Jake Butt,73,DEN,4.0,3,1,1,5,0,0,0,0,TB
165,Drew Sample,70,CIN,1.0,3,1,1,1,0,0,0,0,PHI
166,Cethan Carter,67,CIN,2.0,3,1,1,1,0,0,0,0,PHI
167,George Kittle,99,SF,1.0,4,15,15,183,1,1,8,0,PHI
168,Robert Tonyan Jr.,79,GB,1.0,4,6,6,98,3,0,0,0,ATL
169,Mark Andrews,86,BAL,1.0,4,3,3,57,2,0,0,0,WAS
170,Dalton Schultz,73,DAL,1.0,4,8,4,72,1,0,0,0,CLE
171,Darren Waller,93,LV,1.0,4,11,9,88,0,0,0,0,BUF
172,Austin Hooper,87,CLE,1.0,4,7,5,34,1,0,0,0,DAL
173,OJ Howard,84,TB,2.0,4,6,3,50,1,0,0,0,LAC
174,T.J. Hockenson,81,DET,1.0,4,4,2,9,1,0,0,0,NO
175,Travis Kelce,96,KC,1.0,4,7,3,70,0,0,0,0,NE
176,Jason Witten,80,LV,1.0,4,2,2,18,1,0,0,0,BUF
177,Evan Engram,83,NYG,1.0,4,10,6,35,0,0,0,0,LAR
178,Hayden Hurst,77,ATL,1.0,4,6,4,51,0,0,0,0,GB
179,Donald Parham,67,LAC,3.0,4,1,1,19,1,0,0,0,TB
180,Ian Thomas,75,CAR,1.0,4,5,2,5,1,0,0,0,ARI
181,Noah Fant,85,DEN,1.0,4,6,5,35,0,0,0,0,NYJ
182,Greg Olsen,77,SEA,1.0,4,7,5,35,0,0,0,0,MIA
183,Mo Alie-Cox,67,IND,1.0,4,2,1,13,1,0,0,0,CHI
184,Dan Arnold,67,ARI,1.0,4,4,4,39,0,0,0,0,CAR
185,Harrison Bryant,67,CLE,2.0,4,4,4,37,0,0,0,0,DAL
186,Drew Sample,70,CIN,1.0,4,5,3,47,0,0,0,0,JAX
187,Jordan Akins,77,HOU,3.0,4,3,3,46,0,0,0,0,MIN
188,Cameron Brate,76,TB,1.0,4,1,1,3,1,0,0,0,LAC
189,Jimmy Graham,78,CHI,2.0,4,5,4,33,0,0,0,0,IND
190,Jordan Thomas,69,ARI,2.0,4,1,1,3,1,0,0,0,CAR
191,Zach Ertz,81,PHI,1.0,4,5,4,9,0,0,0,0,SF
192,Richard Rodgers,71,PHI,3.0,4,4,3,35,0,0,0,0,SF
193,Gerald Everett,75,LAR,2.0,4,1,1,10,0,1,2,1,NYG
194,Hunter Henry,85,LAC,1.0,4,4,2,39,0,0,0,0,TB
195,Tyler Higbee,82,LAR,1.0,4,4,3,20,0,0,0,0,NYG
196,Durham Smythe,69,MIA,1.0,4,2,2,30,0,0,0,0,SEA
197,Kyle Rudolph,80,MIN,1.0,4,2,2,27,0,0,0,0,HOU
198,Blake Bell,69,DAL,2.0,4,2,2,24,0,0,0,0,CLE
199,Tyler Eifert,77,JAX,2.0,4,6,2,22,0,0,0,0,CIN
