,Player Name,Team,Position,College
227,Nick Bosa,San Francisco,DE,Ohio State
228,Jonathan Bostic,Washington,LB,Florida
229,Tre Boston,Carolina,DB,North Carolina
230,Chris Boswell,Pittsburgh,K,Rice
231,Kendrick Bourne,San Francisco,WR,Eastern Washington
232,A.J. Bouye,Denver,DB,Central Florida
233,Lynn Bowden,Miami,WR,Kentucky
234,Tashawn Bower,New England,DE,Louisiana State
235,Nick Bowers,Las Vegas,TE,Penn State
236,Tyus Bowser,Baltimore,LB,Houston
237,Kris Boyd,Minnesota,DB,Texas
238,Tyler Boyd,Cincinnati,WR,Pittsburgh
239,Miles Boykin,Baltimore,WR,Notre Dame
240,Nick Boyle,Baltimore,TE,Delaware
241,Tim Boyle,Green Bay,QB,Eastern Kentucky
242,Bradley Bozeman,Baltimore,OG,Alabama
243,James Bradberry,NY Giants,DB,Samford
244,Garrett Bradbury,Minnesota,C,North Carolina State
245,Ben Braden,Green Bay,OG,Michigan
246,Hunter Bradley,Green Bay,LS,Mississippi State
247,Ja'Marcus Bradley,Cleveland,WR,Louisiana-Lafayette
248,Shaun Bradley,Philadelphia,LB,Temple
249,Darius Bradwell,LA Chargers,RB,Tulane
250,Tom Brady,Tampa Bay,QB,Michigan
251,Jordan Brailford,Minnesota,DE,Oklahoma State
252,Blake Brandel,Minnesota,OT,Oregon State
253,John Brannon,LA Chargers,DB,Western Carolina
254,Caleb Brantley,Washington,DT,Florida
255,Cameron Brate,Tampa Bay,TE,Harvard
256,Tyler Bray,Chicago,QB,Tennessee
257,Ben Bredeson,Baltimore,OG,Michigan
258,Bashaud Breeland,Kansas City,DB,Clemson
259,Jacob Breeland,Baltimore,TE,Oregon
260,Drew Brees,New Orleans,QB,Purdue
261,Matt Breida,Miami,RB,Georgia Southern
262,Jake Brendel,San Francisco,C,UCLA
263,Aaron Brewer,Arizona,LS,San Diego State
264,Aaron Brewer,Tennessee,C,Texas State
265,Chandler Brewer,LA Rams,OG,Middle Tennessee State
266,Teddy Bridgewater,Carolina,QB,Louisville
267,Jacoby Brissett,Indianapolis,QB,North Carolina State
268,Tramaine Brock,Detroit,DB,Belhaven (MS)
269,Michael Brockers,LA Rams,DE,Louisiana State
270,Antoine Brooks,Pittsburgh,DB,Maryland
271,Brandon Brooks,Philadelphia,OG,Miami (OH)
272,Jordyn Brooks,Seattle,LB,Texas Tech
273,Terrence Brooks,New England,DB,Florida State
274,Tony Brooks-James,Atlanta,RB,Oregon
275,Cortez Broughton,LA Chargers,DT,Cincinnati
276,A.J. Brown,Tennessee,WR,Mississippi
277,Alex Brown,Kansas City,DB,South Carolina State
