,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
182,Justin Watson,67,TB,4.0,2,3,2,48,0,0,0,0,CAR
183,Miles Boykin,71,BAL,2.0,2,5,4,38,0,0,0,0,HOU
184,Michael Pittman Jr,72,IND,3.0,2,6,4,37,0,0,0,0,MIN
185,Isaiah McKenzie,73,BUF,6.0,2,2,2,47,0,0,0,0,MIA
186,Hunter Renfrow,73,LV,2.0,2,3,3,37,0,0,0,0,NO
187,Bryan Edwards,71,LV,3.0,2,2,2,42,0,0,0,0,NO
188,Preston Williams,70,MIA,2.0,2,5,1,26,0,0,0,0,BUF
189,Davante Adams,97,GB,1.0,2,3,3,36,0,0,0,0,DET
190,Tee Higgins,73,CIN,4.0,2,6,3,35,0,0,0,0,CLE
191,Deonte Harris,68,NO,4.0,2,5,3,23,0,1,11,0,LV
192,Khadarel Hodge,67,CLE,5.0,2,2,2,39,0,0,0,0,CIN
193,Curtis Samuel,78,CAR,3.0,2,2,2,13,0,4,26,0,TB
194,Josh Malone,67,NYJ,2.0,2,6,4,16,0,1,12,0,SF
195,Darius Slayton,81,NYG,1.0,2,6,3,33,0,0,0,0,CHI
196,Allen Robinson,91,CHI,1.0,2,9,3,33,0,0,0,0,NYG
197,Steven Sims Jr.,70,WAS,2.0,2,5,3,53,0,0,0,0,ARI
198,CJ Board,68,NYG,7.0,2,3,3,32,0,0,0,0,CHI
199,Cameron Batson,67,TEN,5.0,2,2,2,26,0,1,11,0,JAX
200,Adam Thielen,92,MIN,1.0,2,8,3,31,0,0,0,0,IND
201,Sterling Shepard,84,NYG,2.0,2,4,2,29,0,1,6,0,CHI
202,AJ Green,87,CIN,1.0,2,13,3,29,0,0,0,0,CLE
203,T.Y. Hilton,87,IND,1.0,2,5,3,28,0,0,0,0,MIN
204,Demarcus Robinson,79,KC,4.0,2,4,3,28,0,0,0,0,LAC
205,Josh Reynolds,77,LAR,3.0,2,2,2,33,0,0,0,0,PHI
206,Cordarrelle Patterson,77,CHI,4.0,2,2,2,8,0,7,25,0,NYG
207,Willie Snead,75,BAL,3.0,2,2,2,29,0,0,0,0,HOU
208,Noah Brown,72,DAL,6.0,2,2,2,28,0,0,0,0,ATL
209,James Washington,80,PIT,3.0,2,5,3,22,0,0,0,0,LAR
210,Tim Patrick,72,DEN,5.0,2,5,2,24,0,0,0,0,PIT
211,Julio Jones,96,ATL,1.0,2,4,2,24,0,0,0,0,DAL
212,Danny Amendola,79,DET,3.0,2,7,2,21,0,0,0,0,GB
213,Brandon Aiyuk,70,SF,2.0,2,3,2,21,0,0,0,0,NYJ
214,Olabisi Johnson,71,MIN,3.0,2,3,1,24,0,0,0,0,IND
215,Javon Wims,71,CHI,5.0,2,2,2,17,0,0,0,0,NYG
216,Dontrelle Inman,74,WAS,4.0,2,5,2,17,0,0,0,0,ARI
217,Kenny Stills,81,HOU,4.0,2,3,2,16,0,0,0,0,BAL
218,Nelson Agholor,76,LV,4.0,2,1,1,19,0,0,0,0,NO
219,Devin Duvernay,72,BAL,4.0,2,1,1,19,0,0,0,0,HOU
220,Mike Williams,82,LAC,2.0,2,4,2,14,0,0,0,0,KC
221,Emmanuel Sanders,87,NO,2.0,2,3,1,18,0,0,0,0,LV
222,Breshad Perriman,73,NYJ,2.0,2,2,2,12,0,0,0,0,SF
223,Scott Miller,67,TB,3.0,2,3,2,11,0,1,1,0,CAR
224,Trent Taylor,77,SF,5.0,2,3,2,10,0,0,0,0,NYJ
225,Sammy Watkins,82,KC,3.0,2,3,1,11,0,0,0,0,LAC
226,Olamide Zaccheaus,67,ATL,5.0,2,1,1,10,0,0,0,0,DAL
227,Jakobi Meyers,71,NE,3.0,2,1,1,7,0,0,0,0,SEA
